study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
65894	summit_2018	Bladder/Urinary Tract Cancer, NOS	Bladder/Urinary Tract	summit	NA
65897	summit_2018	Bladder Cancer	Urachal Carcinoma	summit	NA
65931	summit_2018	Biliary Tract Cancer, NOS	Biliary Tract	summit	NA
65937	summit_2018	Ovarian/Fallopian Tube Cancer, NOS	Ovary/Fallopian Tube	summit	NA
65939	summit_2018	Endometrial Cancer	Endometrial Carcinoma	summit	NA
65985	summit_2018	Breast Cancer	Inflammatory Breast Cancer	summit	NA
66211	sarc_tcga_pan_can_atlas_2018	Sarcoma	Myxofibrosarcoma	sarc	NA
66212	sarc_tcga_pan_can_atlas_2018	Sarcoma	Leiomyosarcoma	sarc	NA
66214	sarc_tcga_pan_can_atlas_2018	Sarcoma	Malignant Peripheral Nerve Sheath Tumor	sarc	NA
66216	sarc_tcga_pan_can_atlas_2018	Sarcoma	Dedifferentiated Liposarcoma	sarc	NA
66229	sarc_tcga_pan_can_atlas_2018	Sarcoma	Desmoid/Aggressive Fibromatosis	sarc	NA
66235	sarc_tcga_pan_can_atlas_2018	Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	sarc	NA
66248	sarc_tcga_pan_can_atlas_2018	Sarcoma	Synovial Sarcoma	sarc	NA
66527	sarc_tcga	Soft Tissue Cancer, NOS	Soft Tissue	sarc	NA
66566	sarc_tcga	Soft Tissue Sarcoma	Soft Tissue Sarcoma	sarc	NA
67300	skcm_tcga	skcm_tcga	skcm_tcga	skcm	Cutaneous Melanoma
68636	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
68638	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Intestinal Type Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
68639	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Tubular Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
68640	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
68641	stad_tcga_pan_can_atlas_2018	Undifferentiated Stomach Adenocarcinoma	Signet Ring Cell Carcinoma of the Stomach	stad	Stomach Adenocarcinoma
68665	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Mucinous Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
68865	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Papillary Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
69329	stad_tcga	Esophagogastric Cancer	Papillary Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
70421	tmb_mskcc_2018	Melanoma	Primary CNS Melanoma	tmb	NA
70537	tmb_mskcc_2018	Cancer of Unknown Primary	Undifferentiated Malignant Neoplasm	tmb	NA
70586	tmb_mskcc_2018	Renal Cell Carcinoma	FH-Deficient Renal Cell Carcinoma	tmb	NA
70859	tmb_mskcc_2018	Cancer of Unknown Primary	Cancer of Unknown Primary, NOS	tmb	NA
71828	tgct_tcga	Germ Cell Tumor	tgct_tcga	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
71982	tgct_tcga_pan_can_atlas_2018	Seminoma	Seminoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
71984	tgct_tcga_pan_can_atlas_2018	Non-Seminomatous Germ Cell Tumor	Embryonal Carcinoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
71989	tgct_tcga_pan_can_atlas_2018	Non-Seminomatous Germ Cell Tumor	Mixed Germ Cell Tumor	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
72003	tgct_tcga_pan_can_atlas_2018	Non-Seminomatous Germ Cell Tumor	Yolk Sac Tumor	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
72049	tgct_tcga_pan_can_atlas_2018	Non-Seminomatous Germ Cell Tumor	Teratoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
72489	lung_msk_pdx	Small Cell Lung Cancer	Combined Small Cell Lung Carcinoma	lung	Lung
72574	tet_nci_2014	Thymic Tumor	Thymic Epithelial Tumor	tet	Thymic Epithelial Tumor
72606	thym_tcga_pan_can_atlas_2018	Thymic Epithelial Tumor	Thymoma	thym	Thymoma
72853	thca_tcga_pan_can_atlas_2018	Well-Differentiated Thyroid Cancer	Papillary Thyroid Cancer	thca	NA
73462	thca_tcga	Thyroid Cancer	thca_tcga	thca	NA
73808	thca_tcga	Thyroid Cancer	Well-Differentiated Thyroid Cancer	thca	NA
74157	ucs_tcga_pan_can_atlas_2018	Endometrial Carcinoma	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	ucs	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor
74787	ucec_tcga_pan_can_atlas_2018	Endometrial Carcinoma	Uterine Mixed Endometrial Carcinoma	ucec	Endometrial Carcinoma
74788	ucec_tcga_pan_can_atlas_2018	Endometrial Carcinoma	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	ucec	Endometrial Carcinoma
74789	ucec_tcga_pan_can_atlas_2018	Endometrial Carcinoma	Uterine Endometrioid Carcinoma	ucec	Endometrial Carcinoma
75892	uvm_tcga_pan_can_atlas_2018	Ocular Melanoma	Uveal Melanoma	uvm	NA
