study	final_tissue	cancer_type	cancer_type_detailed	prefix	prefix_key_match
mixed_pipseq_2017	Skin	Cutaneous malignancy of hair matrix cells	Pilomatrix carcinoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Kidney	Renal cancer	Wilms Tumor	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Brain Cancer	Anaplastic medulloblastoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Brain Cancer	Atypical Teratoid/Rhabdoid Tumor	mixed	Mixed Cancer Types
mixed_pipseq_2017	Soft Tissue	Soft Tissue Sarcoma	Rhabdomyosarcoma, Alveolar subtype	mixed	Mixed Cancer Types
mixed_pipseq_2017	Soft Tissue	Soft Tissue Sarcoma	Small round blue cell tumor/ Ewing Sarcoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Diffuse Glioma	Diffuse Intrinsic Pontine Glioma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Germ Cell	Non-Seminomatous Germ Cell Tumor	Non-seminomatous Mixed Germ Cell Tumor	mixed	Mixed Cancer Types
mixed_pipseq_2017	Germ Cell	Non-Seminomatous Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor, predominantly yolk sac type	mixed	Mixed Cancer Types
mixed_pipseq_2017	Soft Tissue	Soft Tissue Tumor	Inflammatory myofibroblastic tumor	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Encapsulated Glioma	Anaplastic pleomorphic xanthoastrocytoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Brain Cancer	Glioma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Adrenal Gland	Adrenal Tumor	Adrenocortical carcinoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Lymphoid	Hodgkin Lymphoma-like PTLD	Hodgkin Lymphoma-like PTLD	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Brain Cancer	Optic nerve glioma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Encapsulated Glioma	Pilomyxoid astrocytoma	mixed	Mixed Cancer Types
rt_target_2018_pub	Kidney	Rhabdoid Cancer	Rhabdoid Cancer	rt	NA
pcpg_tcga	CNS/Brain	Miscellaneous Neuroepithelial Tumor	Miscellaneous Neuroepithelial Tumor	pcpg	NA
thyroid_mskcc_2016	Thyroid	Thyroid Cancer	Poorly Differentiated Thyroid Carcinoma	thyroid	Thyroid
thyroid_mskcc_2016	Thyroid	Thyroid Cancer	Anaplastic Thyroid Carcinoma	thyroid	Thyroid
hnc_mskcc_2016	Head and Neck	Head and Neck Cancer	Cutaneous Squamous Cell Carcinoma	hnc	NA
hnc_mskcc_2016	Head and Neck	Salivary Gland Cancer	Salivary Adenocarcinoma NOS	hnc	NA
nccrcc_genentech_2014	Kidney	Renal Cell Carcinoma	Renal Non-Clear Cell Carcinoma	nccrcc	Renal Non-Clear Cell Carcinoma
summit_2018	Cervix	Cervical Cancer	Cervical Adenocarcinoma	summit	NA
summit_2018	Ampulla of Vater	Ampullary Carcinoma	Ampullary Carcinoma	summit	NA
summit_2018	Bladder/Urinary Tract	Bladder/Urinary Tract Cancer, NOS	Bladder/Urinary Tract	summit	NA
summit_2018	Bladder/Urinary Tract	Bladder Cancer	Urachal Carcinoma	summit	NA
summit_2018	Biliary Tract	Biliary Tract Cancer, NOS	Biliary Tract	summit	NA
summit_2018	Ovary/Fallopian Tube	Ovarian/Fallopian Tube Cancer, NOS	Ovary/Fallopian Tube	summit	NA
summit_2018	Uterus	Endometrial Cancer	Endometrial Carcinoma	summit	NA
summit_2018	Breast	Breast Cancer	Inflammatory Breast Cancer	summit	NA
sarc_tcga_pan_can_atlas_2018	Soft Tissue	Sarcoma	Myxofibrosarcoma	sarc	NA
sarc_tcga_pan_can_atlas_2018	Soft Tissue	Sarcoma	Leiomyosarcoma	sarc	NA
sarc_tcga_pan_can_atlas_2018	Peripheral Nervous System	Sarcoma	Malignant Peripheral Nerve Sheath Tumor	sarc	NA
sarc_tcga_pan_can_atlas_2018	Soft Tissue	Sarcoma	Dedifferentiated Liposarcoma	sarc	NA
sarc_tcga_pan_can_atlas_2018	Soft Tissue	Sarcoma	Desmoid/Aggressive Fibromatosis	sarc	NA
sarc_tcga_pan_can_atlas_2018	Soft Tissue	Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	sarc	NA
sarc_tcga_pan_can_atlas_2018	Soft Tissue	Sarcoma	Synovial Sarcoma	sarc	NA
sarc_tcga	Soft Tissue	Soft Tissue Cancer, NOS	Soft Tissue	sarc	NA
sarc_tcga	Soft Tissue	Soft Tissue Sarcoma	Soft Tissue Sarcoma	sarc	NA
skcm_tcga	Skin	Melanoma		skcm	Cutaneous Melanoma
stad_tcga_pan_can_atlas_2018	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
stad_tcga_pan_can_atlas_2018	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Intestinal Type Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
stad_tcga_pan_can_atlas_2018	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Tubular Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
stad_tcga_pan_can_atlas_2018	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
stad_tcga_pan_can_atlas_2018	Esophagus/Stomach	Undifferentiated Stomach Adenocarcinoma	Signet Ring Cell Carcinoma of the Stomach	stad	Stomach Adenocarcinoma
stad_tcga_pan_can_atlas_2018	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Mucinous Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
stad_tcga_pan_can_atlas_2018	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Papillary Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
stad_tcga	Esophagus/Stomach	Esophagogastric Cancer	Papillary Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
tmb_mskcc_2018	CNS/Brain	Melanoma	Primary CNS Melanoma	tmb	NA
tmb_mskcc_2018	Other	Cancer of Unknown Primary	Undifferentiated Malignant Neoplasm	tmb	NA
tmb_mskcc_2018	Kidney	Renal Cell Carcinoma	FH-Deficient Renal Cell Carcinoma	tmb	NA
tmb_mskcc_2018	Other	Cancer of Unknown Primary	Cancer of Unknown Primary, NOS	tmb	NA
tgct_tcga	Germ Cell	Germ Cell Tumor		tgct	Tenosynovial Giant Cell Tumor Diffuse Type
tgct_tcga_pan_can_atlas_2018	Testis	Seminoma	Seminoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
tgct_tcga_pan_can_atlas_2018	Germ Cell	Non-Seminomatous Germ Cell Tumor	Embryonal Carcinoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
tgct_tcga_pan_can_atlas_2018	Germ Cell	Non-Seminomatous Germ Cell Tumor	Mixed Germ Cell Tumor	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
tgct_tcga_pan_can_atlas_2018	Germ Cell	Non-Seminomatous Germ Cell Tumor	Yolk Sac Tumor	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
tgct_tcga_pan_can_atlas_2018	Germ Cell	Non-Seminomatous Germ Cell Tumor	Teratoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
lung_msk_pdx	Lung	Small Cell Lung Cancer	Combined Small Cell Lung Carcinoma	lung	Lung
tet_nci_2014	Thymus	Thymic Tumor	Thymic Epithelial Tumor	tet	Thymic Epithelial Tumor
thym_tcga_pan_can_atlas_2018	Thymus	Thymic Epithelial Tumor	Thymoma	thym	Thymoma
thca_tcga_pan_can_atlas_2018	Thyroid	Well-Differentiated Thyroid Cancer	Papillary Thyroid Cancer	thca	NA
thca_tcga	Thyroid	Thyroid Cancer		thca	NA
thca_tcga	Thyroid	Thyroid Cancer	Well-Differentiated Thyroid Cancer	thca	NA
ucs_tcga_pan_can_atlas_2018	Uterus	Endometrial Carcinoma	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	ucs	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor
ucec_tcga_pan_can_atlas_2018	Uterus	Endometrial Carcinoma	Uterine Mixed Endometrial Carcinoma	ucec	Endometrial Carcinoma
ucec_tcga_pan_can_atlas_2018	Uterus	Endometrial Carcinoma	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	ucec	Endometrial Carcinoma
ucec_tcga_pan_can_atlas_2018	Uterus	Endometrial Carcinoma	Uterine Endometrioid Carcinoma	ucec	Endometrial Carcinoma
uvm_tcga_pan_can_atlas_2018	Eye	Ocular Melanoma	Uveal Melanoma	uvm	NA
